t_s,T_true,T_meas,T_filt,u_raw,u_final,state
0,20,20.270094199687431,20.270094199687431,1,1,0
1,20.030999999999999,20.265739438036825,20.269698312264648,1,1,0
2,20.061937999999998,20.196700870455565,20.263062181191096,1,1,0
3,20.092814123999997,20.53275781577284,20.287579966153071,1,1,0
4,20.123628495751998,20.039215880626411,20.265001412923375,1,1,0
5,20.154381238760493,19.664407072987942,20.210401927474699,1,1,0
6,20.185072476282972,20.448192751234803,20.232019275089254,1,1,0
7,20.215702331330405,20.729134285208083,20.277211548736421,1,1,0
8,20.246270926667744,20.954577835948161,20.338790302119307,1,1,0
9,20.27677838481441,20.835329253487785,20.38393020678917,1,1,0
10,20.307224828044781,20.603113545558976,20.403855964859151,1,1,0
11,20.337610378388693,20.849233311665632,20.444344814568829,1,1,0
12,20.367935157631916,20.774453411493596,20.474354687016536,1,1,0
13,20.39819928731665,20.662636856560223,20.491471247884142,1,1,0
14,20.428402888742017,20.878991544836669,20.526700365788919,1,1,0
15,20.458546082964531,20.481835856687628,20.522621774052439,1,1,0
16,20.488628990798603,20.6997275775886,20.538722301646636,1,1,0
17,20.518651732817005,20.726499242209425,20.555792932606892,1,1,0
18,20.548614429351371,20.810848891019809,20.578979837917156,1,1,0
19,20.578517200492669,20.91255504659145,20.609304856887547,1,1,0
20,20.608360166091686,21.227278104434287,20.66548424302816,1,1,0
21,20.638143445759503,21.254099139117333,20.718994688127175,1,1,0
22,20.667867158867985,21.267695381137063,20.768876569309892,1,1,0
23,20.697531424550249,20.744992315168634,20.76670527347887,1,1,0
24,20.727136361701149,20.906783095549592,20.779439620939844,1,1,0
25,20.756682088977747,20.743781264764735,20.77619795219665,1,1,0
26,20.786168724799793,21.23743961951736,20.818129012862169,1,1,0
27,20.815596387350194,20.875801555703994,20.823371971302336,1,1,0
28,20.844965194575494,21.132415088229376,20.851466800113887,1,1,0
29,20.874275264186341,21.119439288061933,20.875827935381892,1,1,0
30,20.903526713657968,21.417081868540002,20.925032838396266,1,1,0
31,20.932719660230653,21.021722221361465,20.933822782302194,1,1,0
32,20.96185422091019,20.921753579906955,20.932725582084444,1,1,0
33,20.99093051246837,21.364232333660539,20.971953468591362,1,1,0
34,21.019948651443435,21.325927780977043,21.004132951535514,1,1,0
35,21.048908754140548,21.560373072461818,21.054700235256085,1,1,0
36,21.077810936632268,21.362729509013331,21.082702896506746,1,1,0
37,21.106655314759003,21.345302581506335,21.10657559514307,1,1,0
38,21.135442004129484,21.506561240834323,21.142937926569548,1,1,0
39,21.164171120121225,21.502293016176878,21.175606571079307,1,1,0
40,21.192842777880983,21.617576521786248,21.215785657507212,1,1,0
41,21.22145709232522,21.768223617327646,21.266007290218159,1,1,0
42,21.250014178140571,21.732387283604119,21.308405471435066,1,1,0
43,21.278514149784289,21.715151023554355,21.345382339809547,1,1,0
44,21.306957121484722,21.727599542528807,21.38012935823857,1,1,0
45,21.335343207241753,21.572952040543459,21.397658692993559,1,1,0
46,21.363672520827269,16.794199262902293,20.979162381167079,1,1,0
47,21.391945175785615,21.885834960495981,21.061587161106068,1,1,0
48,21.420161285434045,21.894649655857791,21.137320115174408,1,1,0
49,21.448320962863175,21.910925043662818,21.20764783594608,1,1,0
50,21.476424320937447,21.802709924332859,21.261744389435787,1,1,0
51,21.504471472295574,21.494553971606987,21.282908896905894,1,1,0
52,21.532462529350983,21.857327747192826,21.335128792386524,1,1,0
53,21.56039760429228,21.951978772537274,21.391206063309319,1,1,0
54,21.588276809083695,21.863981702336272,21.434185666857225,1,1,0
55,21.616100255465529,21.781207768293321,21.465733130624141,1,1,0
56,21.643868054954599,21.90603702334489,21.505760757235119,1,1,0
57,21.67158031884469,21.768246209662792,21.529623071092182,1,1,0
58,21.699237158207001,21.421344612758286,21.519779574880008,1,1,0
59,21.726838683890588,22.035516384608563,21.566664739400785,1,1,0
60,21.754385006522806,21.798644135993626,21.587753775454679,1,1,0
61,21.78187623650976,22.219415581950134,21.645177576045175,1,1,0
62,21.809312484036742,21.998514494475934,21.677299114084335,1,1,0
63,21.836693859068667,21.803795473024977,21.688798783078937,1,1,0
64,21.864020471350528,22.365454442422589,21.75031293392836,1,1,0
65,21.891292430407827,22.216979313716116,21.7927371502727,1,1,0
66,21.91850984554701,22.383218874399269,21.846417307011478,1,1,0
